weiming,male,94
ivan,male,99
shakti,male,87
joan,male,56
melanie,female,98
yunhong,male,54
abraham,male,99
shengjie,male,79
guotai,male,75
soeprapto,male,100
christy,female,93
hideo,male,100
glenn,male,98
ovidiu,male,100
meghan,female,99
marilla,female,96
stéphane,male,98
xiaofang,female,92
haixue,male,75
katie,female,99
tresna,female,62
longwei,male,100
deanna,female,98
isaie,male,100
shashank,male,100
zongbao,male,75
jameson,male,97
nathania,female,96
istel,female,71
jesse,male,93
georg,male,99
jun,male,88
abhinav,male,100
peter,male,99
jiannian,male,75
basile,male,96
heidy,female,99
inversion,female,75
marcin,male,99
miguel,male,99
dinkins,unknown,0
shriram,male,100
hussnain,male,100
jinxin,male,81
luiz,male,99
azauri,unknown,0
guojian,male,100
arthur,male,99
jean,male,89
elisangela,female,99
clemens,male,99
maricel,female,92
justin,male,98
hilary,female,80
